Sku,Amount
1,473
2,49
3,223
4,204
5,295
6,59
7,438
8,166
9,488
10,269
11,216
12,363
13,148
14,479
15,19
16,49
17,349
18,142
19,425
20,45
21,1
22,198
23,324
24,147
25,353
26,225
27,148
28,410
29,304
30,251
31,239
32,330
33,13
34,187
35,3
36,286
37,265
38,405
39,451
40,497
41,416
42,178
43,140
44,373
45,498
46,38
47,469
48,260
49,330
50,185
51,301
52,454
53,498
54,318
55,246
56,361
57,376
58,419
59,69
60,10
61,89
62,395
63,171
64,412
65,31
66,234
67,83
68,166
69,92
70,117
71,239
72,209
73,470
74,100
75,39
76,243
77,118
78,107
79,72
80,382
81,244
82,461
83,105
84,459
85,249
86,266
87,308
88,499
89,203
90,317
91,495
92,179
93,384
94,433
95,141
96,129
97,131
98,180
99,3
100,404
101,3
102,473
103,423
104,283
105,167
106,276
107,421
108,312
109,108
110,287
111,69
112,457
113,281
114,405
115,412
116,482
117,477
118,46
119,116
120,160
121,291
122,122
123,132
124,239
125,275
126,365
127,19
128,477
129,16
130,203
131,44
132,183
133,284
134,107
135,456
136,23
137,69
138,230
139,301
140,155
141,108
142,131
143,490
144,17
145,83
146,411
147,39
148,381
149,58
150,89
151,159
152,473
153,454
154,470
155,436
156,339
157,59
158,67
159,392
160,14
