Trans Number,Number of Items,SKU 1,Quantity,SKU 2,Quantity,SKU 3,Quantity,SKU 4,Quantity,SKU 5,Quantity,SKU 6,Quantity,SKU 7,Quantity,SKU 8,Quantity ,SKU 9,Quantity,SKU 10,Quantity,Online?
1,6,47,101,64,1,91,1,81,4,69,2,99,3,0,0,0,0,0,0,0,0,1
2,10,8,3,31,2,84,5,75,5,27,2,2,4,27,3,21,2,81,5,54,4,0
3,5,143,5,71,5,9,2,42,1,2,2,0,0,0,0,0,0,0,0,0,0,0
4,1,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4,138,4,99,2,45,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7,21,2,48,2,76,4,35,4,48,2,50,2,3,5,0,0,0,0,0,0,1
7,7,26,2,52,4,91,5,14,2,49,3,8,1,54,5,0,0,0,0,0,0,0
8,10,97,5,34,5,18,5,64,3,78,2,70,2,88,5,100,2,11,1,88,1,0
9,4,121,2,38,1,26,4,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,140,4,49,1,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,15,2,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,63,1,38,1,31,3,22,5,32,1,35,4,46,1,87,4,78,2,77,2,1
13,9,155,5,25,3,67,4,54,2,84,2,39,2,53,3,47,5,48,4,0,0,1
14,2,38,1,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,128,2,22,5,55,5,9,1,75,4,11,3,1,4,69,4,95,1,81,5,1
16,2,107,5,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,9,3,69,2,83,1,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8,136,3,36,4,6,3,26,2,37,5,45,1,47,1,69,5,0,0,0,0,1
19,8,18,2,56,3,90,1,79,4,43,3,17,5,86,4,52,1,0,0,0,0,0
20,2,11,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,6,156,5,64,5,38,5,83,1,16,4,90,2,0,0,0,0,0,0,0,0,0
22,4,81,4,83,2,48,4,80,4,0,0,0,0,0,0,0,0,0,0,0,0,1
