Transaction,Sku,Amount dec
1,21,2
2,73,17
3,64,8
4,156,15
5,152,11
6,36,11
7,59,6
8,143,2
9,151,4
10,106,19
11,114,5
12,126,12
13,4,20
14,63,10
15,26,16
16,43,2
17,109,13
18,33,6
19,143,1
20,31,11
21,150,14
22,3,20
23,15,6
24,139,2
25,107,13
26,147,5
27,127,1
28,94,18
29,121,7
30,133,17
31,93,7
32,37,5
33,111,20
34,105,14
35,68,14
36,140,17
37,14,12
38,69,6
39,131,13
40,90,16
41,110,1
42,10,15
43,49,2
44,121,1
45,145,3
46,145,11
47,14,16
48,129,10
49,158,11
50,37,10
51,153,10
52,76,13
53,41,7
54,145,5
55,101,9
56,16,5
57,38,6
58,91,8
59,150,1
60,31,1
61,115,9
62,111,6
63,52,5
64,62,1
65,134,13
66,76,19
67,151,5
68,146,18
69,64,3
70,36,9
71,81,4
72,35,5
73,90,5
74,121,4
75,21,5
76,51,4
77,26,13
78,51,1
79,23,6
80,142,13
81,53,17
82,66,6
83,21,15
84,135,17
85,52,20
86,100,16
87,135,18
88,32,7
89,15,2
90,73,8
91,149,6
92,26,9
93,27,15
94,42,11
95,4,18
96,36,1
97,151,17
98,156,14
99,92,13
100,86,2
101,58,11
102,21,14
103,31,4
104,138,12
105,2,18
106,89,7
107,107,10
108,119,15
109,9,14
110,126,8
111,74,17
112,73,8
113,154,14
114,113,6
115,12,15
116,41,4
117,73,4
118,67,20
119,155,13
120,125,4
121,93,16
122,128,7
123,151,10
124,143,7
125,129,13
126,159,10
127,136,10
128,13,4
129,84,13
130,4,19
131,110,15
132,47,2
133,15,20
134,93,3
135,52,17
136,103,9
137,158,3
138,155,6
139,14,6
140,119,12
141,141,8
142,139,12
143,111,10
144,118,18
145,75,17
146,134,11
147,49,11
148,102,3
149,144,7
150,159,7
151,109,7
152,138,2
153,102,2
154,18,10
155,20,10
156,139,1
157,93,13
158,9,9
159,90,9
160,40,14
161,27,20
162,91,4
163,127,10
164,99,20
165,123,19
166,159,11
167,151,19
168,147,20
169,90,9
170,104,8
171,145,17
172,24,11
173,153,11
174,108,8
175,139,1
176,36,13
177,96,13
178,90,18
179,16,19
180,124,12
181,43,19
182,38,10
183,153,19
184,159,12
185,103,5
186,26,11
187,100,10
188,99,18
189,126,10
190,99,3
191,96,18
192,63,1
193,20,9
194,107,15
195,141,14
196,84,9
197,53,4
198,138,1
199,23,10
200,146,20
201,35,12
202,75,20
203,147,1
204,113,13
205,8,10
206,34,20
207,51,6
208,134,15
209,78,3
210,124,5
211,1,8
212,76,4
213,152,14
214,70,7
215,71,2
216,87,15
217,133,3
218,57,8
219,142,8
220,120,18
221,103,6
222,100,1
223,16,17
224,110,2
225,126,6
226,154,8
227,77,16
228,79,2
229,4,8
230,144,5
231,2,4
232,22,8
233,90,5
234,26,14
235,125,19
236,37,16
237,81,9
238,59,2
239,149,20
240,29,13
241,4,6
242,39,4
243,23,20
244,99,8
245,13,1
246,8,14
247,21,15
248,85,7
249,135,10
250,81,3
251,53,9
252,113,12
253,156,10
254,112,9
255,17,2
256,48,4
257,24,20
258,53,9
259,142,7
260,52,17
261,108,3
262,69,7
263,159,7
264,143,6
265,98,14
266,153,15
267,28,6
268,125,1
269,17,4
270,80,13
271,15,17
272,142,8
273,53,4
274,71,7
275,135,1
276,140,5
277,142,5
278,107,2
279,9,8
280,91,2
281,67,2
282,15,16
283,70,4
284,68,14
285,140,19
286,87,4
287,92,19
288,45,3
289,17,4
290,112,14
291,93,9
292,10,19
293,76,17
294,74,15
295,41,7
296,136,17
297,144,13
298,25,20
299,93,18
300,26,17
301,129,2
302,82,5
303,36,16
304,21,18
305,53,16
306,67,20
307,57,15
308,58,9
309,29,8
310,26,1
311,111,14
312,128,16
313,88,15
314,126,4
315,23,13
316,60,20
317,1,1
318,15,7
319,159,2
320,108,17
321,4,3
322,80,16
323,101,15
324,146,1
325,117,19
326,114,1
327,88,7
328,122,14
329,2,3
330,38,8
331,51,13
332,126,8
333,100,12
334,17,6
335,99,20
336,67,9
337,51,13
338,140,4
339,39,18
340,55,17
341,60,7
342,74,4
343,69,10
344,34,10
345,134,2
346,104,5
347,15,3
348,148,16
349,54,1
350,72,18
351,155,8
352,134,16
353,57,19
354,59,17
355,125,2
356,14,8
357,22,1
358,123,16
359,142,19
360,102,11
361,158,7
362,58,17
363,137,20
364,32,12
365,66,18
366,14,19
367,44,16
368,155,20
369,91,3
370,17,9
371,101,20
372,134,7
373,93,13
374,138,3
375,37,16
376,48,13
377,126,17
378,138,14
379,15,11
380,5,3
381,34,1
382,21,11
383,154,15
384,2,4
385,136,9
386,16,9
387,27,5
388,15,7
389,101,14
390,158,16
391,131,12
392,57,13
393,148,12
394,95,12
395,104,10
396,77,12
397,63,11
398,104,2
399,34,2
400,9,14
401,154,15
402,158,11
403,135,5
404,48,13
405,112,5
406,72,4
407,34,5
408,29,4
409,74,16
410,145,8
411,58,5
412,29,2
413,45,18
414,55,18
415,112,6
416,110,5
417,154,9
418,118,4
419,123,1
420,1,7
421,104,14
422,16,6
423,90,4
424,152,11
425,79,10
426,93,11
427,65,12
428,156,1
429,123,9
430,37,17
431,90,5
432,29,8
433,100,19
434,112,3
435,120,18
436,142,13
437,93,11
438,63,7
439,134,10
440,1,15
441,4,20
442,109,11
443,69,13
444,34,6
445,141,11
446,34,11
447,76,5
448,69,9
449,143,12
450,23,8
451,121,2
452,124,1
453,133,20
454,58,16
455,16,13
456,39,18
457,114,17
458,80,3
459,110,10
460,38,8
461,24,9
462,1,8
463,24,20
464,128,1
465,113,6
466,31,5
467,104,20
468,20,19
469,14,20
470,20,2
471,128,10
472,67,8
473,113,18
474,87,11
475,24,2
476,23,17
477,145,2
478,120,17
479,141,10
480,121,9
481,111,5
482,75,1
483,18,17
484,53,6
485,44,19
486,140,15
487,140,12
488,23,18
489,70,14
490,130,15
491,86,6
492,108,14
493,85,16
494,66,13
495,88,1
496,44,9
497,113,6
498,29,7
499,102,9
500,137,16
